company,rank,revenue,sector,city,state
Conduent,604,4163,Business Services,Florham Park,NJ
CNO Financial Group,632,3821.1,Financials,Carmel,IN
Timken,669,3513.2,Industrials,North Canton,OH
Bloomin' Brands,714,3170.6,"Hotels, Restaurants & Leisure",Tampa,FL
Brink's,650,3690.9,Business Services,Richmond,VA
Synopsys,651,3685.3,Technology,Mountain View,CA
Lennox International,653,3634.1,Industrials,Richardson,TX
Service Corp. International,670,3511.5,Business Services,Houston,TX
Century Communities,717,3161.2,Engineering & Construction,Greenwood Village,CO
Voya Financial,332,9133,Financials,New York,NY
Bread Financial Holdings,569,4521.4,Business Services,Columbus,OH
Weis Markets,611,4112.6,Food & Drug Stores,Sunbury,PA
Hub Group,671,3495.6,Transportation,Oak Brook,IL
Dentsply Sirona,691,3342,Health Care,Charlotte,NC
Flowers Foods,588,4388,"Food, Beverages & Tobacco",Thomasville,GA
Maximus,677,3461.5,Technology,Reston,VA
Palo Alto Networks,682,3408.4,Technology,Santa Clara,CA
BlueLinx Holdings,727,3097.3,Wholesalers,Marietta,GA
Domino's Pizza,610,4117.4,"Hotels, Restaurants & Leisure",Ann Arbor,MI
ASGN,622,3950.6,Business Services,Glen Allen,VA
American National Group,636,3792.4,Financials,Galveston,TX
Autodesk,637,3790.4,Technology,San Rafael,CA
Ralph Lauren,450,6159.8,Apparel,New York,NY
TreeHouse Foods,564,4570.5,"Food, Beverages & Tobacco",Oak Brook,IL
PennyMac Financial Services,567,4536,Financials,Westlake Village,CO
Digital Realty Trust,627,3903.6,Financials,Austin,TX
Iron Mountain,605,4147.3,Business Services,Boston,MA
TriNet Group,618,4034,Business Services,Dublin,CA
Sentry Insurance Group,658,3585.3,Financials,Stevens Point,WI
Illumina,706,3239,Technology,San Diego,CA
LCI Industries,784,2796.2,Motor Vehicles & Parts,Elkhart,IN
Covetrus,593,4339,Health Care,Portland,ME
Amerco,620,3978.9,Transportation,Reno,NV
Penn Mutual Life Insurance,649,3700.2,Financials,Horsham,PA
Urban Outfitters,678,3449.7,Retailing,Philadelphia,PA
Louisiana-Pacific,787,2788,Materials,Nashville,TN
Crestwood Equity Partners,904,2254.3,Energy,Houston,TX
Tutor Perini,503,5318.8,Engineering & Construction,Sylmar,CA
Snap-on,623,3942.2,Industrials,Kenosha,WI
Antero Resources,672,3491.7,Energy,Denver,CO
Teledyne Technologies,732,3086.2,Aerospace & Defense,Thousand Oaks,CA
Rent-A-Center,780,2814.2,Retailing,Plano,TX
CME Group,537,4883.6,Financials,Chicago,IL
Nexstar Media Group,576,4501.3,Media,Irving,TX
Hubbell,602,4186,Industrials,Shelton,CT
Gartner,612,4099.4,Technology,Stamford,CT
Par Pacific Holdings,725,3124.9,Energy,Houston,TX
Welltower,561,4606,Financials,Toledo,OH
Juniper Networks,582,4445.1,Technology,Sunnyvale,CA
Prologis,584,4438.7,Financials,San Francisco,CA
Darling Ingredients,660,3571.9,"Food, Beverages & Tobacco",Irving,TX
TransDigm Group,516,5182,Aerospace & Defense,Cleveland,OH
JELD-WEN Holding,600,4235.7,Materials,Charlotte,NC
Stifel Financial,633,3817.8,Financials,St. Louis,MO
Elanco Animal Health,699,3273.3,Health Care,Greenfield,IN
OneMain Holdings,536,4894,Financials,Evansville,IN
NiSource,549,4681.7,Energy,Merrillville,IN
Kelly Services,571,4516,Business Services,Troy,MI
Sanderson Farms,662,3564.3,"Food, Beverages & Tobacco",Laurel,MS
Avient,702,3242.1,Chemicals,Avon Lake,OH
DoorDash,769,2886,Technology,San Francisco,CA
R.R. Donnelley & Sons,499,5398.8,Media,Chicago,IL
Keysight Technologies,601,4221,Technology,Santa Rosa,CA
Scotts Miracle-Gro,607,4131.6,Chemicals,Marysville,OH
Equifax,608,4127.5,Business Services,Atlanta,GA
Tempur Sealy International,652,3676.9,Household Products,Lexington,KY
Howmet Aerospace,507,5259,Aerospace & Defense,Pittsburgh,PA
Ingles Markets,559,4610.6,Food & Drug Stores,Black Mountain,NC
Broadridge Financial Solutions,568,4529,Business Services,Lake Success,NY
Insperity,597,4287,Business Services,Kingwood,TX
FMC,555,4642.1,Chemicals,Philadelphia,PA
Vertiv Holdings,590,4370.6,Industrials,Columbus,OH
Carlisle,599,4245.2,Materials,Scottsdale,AZ
CUNA Mutual Group,615,4049.3,Financials,Madison,WI
American Eagle Outfitters,642,3759.1,Retailing,Pittsburgh,PA
SS&C Technologies Holdings,552,4667.9,Technology,Windsor,CT
PerkinElmer,639,3782.7,Technology,Waltham,MA
Western Union,541,4835,Business Services,Denver,CO
Leggett & Platt,598,4280.2,Household Products,Carthage,MO
Twitter,647,3716.3,Technology,San Francisco,CA
Endeavor Group Holdings,674,3478.7,Media,Beverly Hills,CA
Skyworks Solutions,690,3355.7,Technology,Irvine,CA
Globe Life,544,4737.9,Financials,McKinney,TX
Encompass Health,554,4644.4,Health Care,Birmingham,AL
Simon Property Group,560,4607.5,Financials,Indianapolis,IN
Yellow,573,4513.7,Transportation,Overland Park,KS
Church & Dwight,535,4895.8,Household Products,Ewing,NJ
Rush Enterprises,545,4735.9,Retailing,New Braunfels,TX
American Axle & Manufacturing,547,4710.8,Motor Vehicles & Parts,Detroit,MI
Meritage Homes,577,4501.2,Engineering & Construction,Scottsdale,AZ
Workday,594,4318,Technology,Pleasanton,CA
NGL Energy Partners,151,19770.9,Energy,Tulsa,OK
Xylem,538,4876,Industrials,Rye Brook,NY
Hanover Insurance Group,542,4827.3,Financials,Worcester,MA
Syneos Health,586,4415.8,Health Care,Morrisville,NC
Edwards Lifesciences,589,4386.3,Health Care,Irvine,CA
Fortive,556,4634.4,Industrials,Everett,WA
Old Dominion Freight Line,619,4015.1,Transportation,Thomasville,NC
Pool,624,3936.6,Wholesalers,Covington,LA
MDC Holdings,629,3901.2,Engineering & Construction,Denver,CO
ADT,504,5314.8,Business Services,Boca Raton,FL
Microchip Technology,505,5274.2,Technology,Chandler,AZ
