company,rank,revenue,sector,city,state
Timken,679,4132.9,Industrials,North Canton,OH
Domtar,680,4132,Materials,Fort Mill,SC
Bloomin' Brands,681,4122.4,"Hotels, Restaurants & Leisure",Tampa,FL
CNO Financial Group,682,4122.2,Financials,Carmel,IN
Century Communities,673,4216.3,Engineering & Construction,Greenwood Village,CO
Synopsys,674,4204.2,Technology,Mountain View,CA
Brink's,675,4200.2,Business Services,Richmond,VA
Lennox International,676,4194.1,Industrials,Richardson,TX
Service Corp. International,677,4143.1,Business Services,Houston,TX
Dentsply Sirona,668,4251,Health Care,Charlotte,NC
Hub Group,669,4232.4,Transportation,Oak Brook,IL
Bread Financial Holdings,670,4230,Business Services,Columbus,OH
Voya Financial,670,4230,Financials,New York,NY
Weis Markets,672,4224.4,Food & Drug Stores,Sunbury,PA
Flowers Foods,664,4330.8,"Food, Beverages & Tobacco",Thomasville,GA
BlueLinx Holdings,665,4277.2,Wholesalers,Marietta,GA
Palo Alto Networks,666,4256.1,Technology,Santa Clara,CA
Maximus,667,4254.5,Technology,Reston,VA
American National Group,660,4391.8,Financials,Galveston,TX
Autodesk,661,4386.4,Technology,San Rafael,CA
Domino's Pizza,662,4357.4,"Hotels, Restaurants & Leisure",Ann Arbor,MI
ASGN,663,4333.8,Business Services,Glen Allen,VA
PennyMac Financial Services,655,4450.2,Financials,Westlake Village,CA
Digital Realty Trust,656,4427.9,Financials,Austin,TX
TreeHouse Foods,657,4405.5,"Food, Beverages & Tobacco",Oak Brook,IL
Ralph Lauren,658,4400.8,Apparel,New York,NY
TriNet Group,649,4540,Business Services,Dublin,CA
Sentry Insurance Group,650,4526.2,Financials,Stevens Point,WI
Illumina,651,4526,Technology,San Diego,CA
Iron Mountain,652,4491.5,Business Services,Boston,MA
LCI Industries,653,4472.7,Motor Vehicles & Parts,Elkhart,IN
Covetrus,643,4575,Health Care,Portland,ME
Crestwood Equity Partners,644,4569,Energy,Houston,TX
Louisiana-Pacific,645,4553,Materials,Nashville,TN
Urban Outfitters,646,4548.8,Retailing,Philadelphia,PA
Penn Mutual Life Insurance,647,4545.6,Financials,Horsham,PA
Amerco,648,4542,Transportation,Reno,NV
Tutor Perini,638,4641.8,Engineering & Construction,Sylmar,CA
Antero Resources,639,4619.4,Energy,Denver,CO
Teledyne Technologies,640,4614.3,Aerospace & Defense,Thousand Oaks,CA
Snap-on,641,4601.7,Industrials,Kenosha,WI
Rent-A-Center,642,4583.5,Retailing,Plano,TX
Gartner,633,4734,Technology,Stamford,CT
