0,1,2,3,4,5
"{'key': 'rank', 'value': '935'}","{'key': 'revenues', 'value': '1878.90'}","{'key': 'industry', 'value': 'Energy'}","{'key': 'hqCity', 'value': 'Kansas City'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Inergy Holdings, L.P.'}"
"{'key': 'rank', 'value': '936'}","{'key': 'revenues', 'value': '1878.20'}","{'key': 'industry', 'value': 'Construction and Farm Machinery'}","{'key': 'hqCity', 'value': 'Bloomington'}","{'key': 'hqState', 'value': 'MN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'The Toro Company'}"
"{'key': 'rank', 'value': '937'}","{'key': 'revenues', 'value': '1878.00'}","{'key': 'industry', 'value': 'Telecommunications'}","{'key': 'hqCity', 'value': 'Newark'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'IDT Corp.'}"
"{'key': 'rank', 'value': '938'}","{'key': 'revenues', 'value': '1877.90'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqCity', 'value': 'San Antonio'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Kinetic Concepts, Inc.'}"
"{'key': 'rank', 'value': '939'}","{'key': 'revenues', 'value': '1877.80'}","{'key': 'industry', 'value': 'Motor Vehicles and Parts'}","{'key': 'hqCity', 'value': 'Racine'}","{'key': 'hqState', 'value': 'WI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Modine Manufacturing Company'}"
"{'key': 'rank', 'value': '940'}","{'key': 'revenues', 'value': '1871.20'}","{'key': 'industry', 'value': 'Health Care: Medical Facilities'}","{'key': 'hqCity', 'value': 'Birmingham'}","{'key': 'hqState', 'value': 'AL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'HealthSouth Corporation'}"
"{'key': 'rank', 'value': '941'}","{'key': 'revenues', 'value': '1870.90'}","{'key': 'industry', 'value': 'Information Technology Services'}","{'key': 'hqCity', 'value': 'Fairfax'}","{'key': 'hqState', 'value': 'VA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'ManTech International Corporation'}"
"{'key': 'rank', 'value': '942'}","{'key': 'revenues', 'value': '1862.00'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqCity', 'value': 'Batesville'}","{'key': 'hqState', 'value': 'IN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Hill-Rom Holdings, Inc.'}"
"{'key': 'rank', 'value': '943'}","{'key': 'revenues', 'value': '1861.90'}","{'key': 'industry', 'value': 'Financial Data Services'}","{'key': 'hqCity', 'value': 'Jacksonville'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Lender Processing Services, Inc.'}"
"{'key': 'rank', 'value': '944'}","{'key': 'revenues', 'value': '1860.60'}","{'key': 'industry', 'value': 'Transportation and Logistics'}","{'key': 'hqCity', 'value': 'Downers Grove'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Hub Group, Inc.'}"
"{'key': 'rank', 'value': '945'}","{'key': 'revenues', 'value': '1859.30'}","{'key': 'industry', 'value': 'Industrial Machinery'}","{'key': 'hqCity', 'value': 'Atlanta'}","{'key': 'hqState', 'value': 'GA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Mueller Water Products, Inc.'}"
"{'key': 'rank', 'value': '946'}","{'key': 'revenues', 'value': '1855.80'}","{'key': 'industry', 'value': 'Wholesalers: Health Care'}","{'key': 'hqCity', 'value': 'Jacksonville'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'PSS World Medical, Inc.'}"
"{'key': 'rank', 'value': '947'}","{'key': 'revenues', 'value': '1853.50'}","{'key': 'industry', 'value': 'Industrial Machinery'}","{'key': 'hqCity', 'value': 'Milwaukee'}","{'key': 'hqState', 'value': 'WI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'RBS Global, Inc.'}"
"{'key': 'rank', 'value': '948'}","{'key': 'revenues', 'value': '1852.10'}","{'key': 'industry', 'value': 'Railroads'}","{'key': 'hqCity', 'value': 'Kansas City'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Kansas City Southern'}"
"{'key': 'rank', 'value': '949'}","{'key': 'revenues', 'value': '1847.00'}","{'key': 'industry', 'value': 'Household and Personal Products'}","{'key': 'hqCity', 'value': 'Highland Park'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Solo Cup Company'}"
"{'key': 'rank', 'value': '950'}","{'key': 'revenues', 'value': '1841.60'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqCity', 'value': 'Neenah'}","{'key': 'hqState', 'value': 'WI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Plexus Corp.'}"
"{'key': 'rank', 'value': '905'}","{'key': 'revenues', 'value': '1972.40'}","{'key': 'industry', 'value': 'Specialty Retailers'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': ""The Men's Wearhouse, Inc.""}"
